Year,Title,Topic/Impact,Country Study Focus,Region,Spp,Taxa,Impact study
2014,Spatiotemporal variations in suitable areas for Japanese scallop aquaculture in the Dalian coastal area from 2003 to 2012,"temp, chla, pollution",Japan,Asia,scallop,mollusc,No
2014,Storm-induced changes in coastal geomorphology control estuarine secondary productivity,"stroms, chla",Canada,North America/Caribbean,mussel,mollusc,No
2014,THE FRESHWATER CRAYFISH FAUNA OF AUSTRALIA: UPDATE ON CONSERVATION STATUS AND THREATS,all,Australia,Oceania,,,No
2014,The impact of climate change on mediterranean intertidal communities: losses in coastal ecosystem integrity and services,"temp, invasives",Israel,Middle East,,,Yes
2014,The potential impact of climate change on the infectious diseases of commercially important shellfish populations in the Irish Sea-a review,disease,Ireland,Europe,shellfish,crustacea,Yes
2014,"The regional impacts of climate change on coastal environments and the aquaculture of Japanese scallops in northeast Asia: case studies from Dalian, China, and Funka Bay, Japan","precipitation, temp, wind","China, Japan",Asia,scallop,mollusc,Yes
2014,"The relation of coastal mangrove changes and adjacent land-use: A review in Southeast Asia and Kien Giang, Vietnam",aquaculture,Vietnam,Asia,mangroves,,No
2014,Understanding and managing enhancements: why fisheries scientists should care,fisheries,Global,Global,,,No
2014,Vulnerability of coastal ecosystems to changes in harmful algal bloom distribution in response to climate change: projections based on model analysis,HAB,Global,Global,,,No
2014,Vulnerability of rural livelihoods to multiple stressors: A case study from the southwest coastal region of Bangladesh,"flood, sea level",Bangladesh,Asia,,,No
2015,"Adaptation to climate change as social-ecological trap: a case study of fishing and aquaculture in the Tam Giang Lagoon, Vietnam",all,Vietnam,Asia,,,No
2015,Back to the Roots: The Integration of a Constructed Wetland into a Recirculating Hatchery - A Case Study,,Czech Republic,Europe,,,No
2015,Biodiversity conservation: The key is reducing meat consumption,agriculture,Global,Global,,,No
2015,Can Cylindrospermopsis raciborskii invade the Baltic Sea?,HAB,Finland,Europe,,,No
2015,"Cascading effects from survival to physiological activities, and gene expression of heat shock protein 90 on the abalone Haliotis discus hannai responding to continuous thermal stress",temp,,,abalone,mollusc,No
2015,Climate change and coastal aquaculture farmers' risk perceptions: experiences from Bangladesh and Denmark,all,"Denmark, Bangladesh","Europe, Asia",,,No
2015,CLIMATE CHANGE EFFECTS ON AQUACULTURE PRODUCTION PERFORMANCE IN MALAYSIA: AN ENVIRONMENTAL PERFORMANCE ANALYSIS,all,Malaysia,Asia,,,No
2015,Climate Change Influences Carrying Capacity in a Coastal Embayment Dedicated to Shellfish Aquaculture,chla,Canada,North America/Caribbean,shellfish,crustacea,No
2015,Combining participatory approaches and an agent-based model for better planning shrimp aquaculture,,Vietnam,Asia,shrimp,crustacea,No
2015,Comparing environmental impacts of native and introduced freshwater prawn farming in Brazil and the influence of better effluent management using LCA,invasives,Brazil,South America,shrimp,crustacea,Yes
2015,"DEALING WITH OCEAN ACIDIFICATION: THE PROBLEM, THE CLEAN WATER ACT, AND STATE AND REGIONAL APPROACHES",OA,USA,"North America/Caribbean, Europe",,,No
2015,"Decadal regulation of phytoplankton abundance and water clarity in a large continental reservoir by climatic, hydrologic and trophic processes",aquaculture,Global,Global,,,No
2015,Developments in production technology of Kappaphycus in the Philippines: more than four decades of farming,,Philippines,Asia,seaweed,aquatic plants,No
2015,Ecuador's Mangrove Forest Carbon Stocks: A Spatiotemporal Analysis of Living Carbon Holdings and Their Depletion since the Advent of Commercial Aquaculture,aquaculture,Ecuadore,South America,mangroves,,No
2015,"Effects and mitigations of ocean acidification on wild and aquaculture scallop and prawn fisheries in Queensland, Australia",OA,Australia,Oceania,shrimp,crustacea,No
2015,Enhancing water and cropping productivity through Integrated System of Rice Intensification (ISRI) with aquaculture and horticulture under rainfed conditions,drought,India,Asia,,,No
2015,Environmental change: prospects for conservation and agriculture in a southwest Australia biodiversity hotspot,"temp, chla, pollution",Australia,Oceania,,,No
2015,Environmental performance of brackish water polyculture system from a life cycle perspective: A Filipino case study,"salinity, sea level, floods",Philippines,Asia,,,No
2015,Establishing the impacts of freshwater aquaculture in tropical Asia: the potential role of palaeolimnology,aquaculture,Global,Asia,,,No
2015,Evaluating community impacts of ocean acidification using qualitative network models,OA,USA,North America/Caribbean,,,Yes
2015,Facing the wave of change: stakeholder perspectives on climate adaptation for Australian seafood supply chains,all,Australia,Oceania,,,No
2015,Feeding 9 billion by 2050-Putting fish back on the menu,"fisheries, all",Global,Global,,,No
2015,Fine-Scale Cartography of Human Impacts along French Mediterranean Coasts: A Relevant Map for the Management of Marine Ecosystems,aquaculture,France,Europe,,,No
2015,Funding climate adaptation strategies with climate derivatives,temp,Australia,Oceania,,,No
2015,Gauging perceptions of ocean acidification in Alaska,OA,USA,North America/Caribbean,,,No
2015,Growth potential of blue mussels (M-edulis) exposed to different salinities evaluated by a Dynamic Energy Budget model,"salinity, sea level, floods",Global,Global,mussel,mollusc,No
2015,"How remote sensing supports mangrove ecosystem service valuation: A case study in Ca Mau province, Vietnam",aquaculture,Vietnam,Asia,mangroves,,No
2015,Impact of Climate Change on Aquaculture: The Need for Alternative Feed Components,"temp, OA",,Global,,,Yes
2015,Impacts of aquaculture on social networks in the mangrove systems of northern Vietnam,aquaculture,Vietnam,Asia,mangroves,,No
2015,Incorporating carbon footprints into seafood sustainability certification and eco-labels,,Global,Global,,,No
2015,Life cycle assessment for rainbow trout (Oncorhynchus mykiss) production systems: a case study for Iran,aquaculture,Iran,Middle East,trout,finfish,No
2015,Livelihood Security: Implications from Aquaculture Sectors,,Bangladesh,Asia,,,No
2015,Lobsters: ocean icons in changing times Introduction,fisheries,Global,Global,lobster,crustacea,No
2015,Local perceptions of and adaptation to climate variability and change: the case of shrimp farming communities in the coastal region of Bangladesh,"flood, sea level",Bangladesh,Asia,,,No
2015,Long term evolution of fisheries in a coastal lagoon related to changes in lagoon ecology and human pressures,aquaculture,Mediterranean,"Europe, Africa, Middle East",,,No
2015,Marine reserves help preserve genetic diversity after impacts derived from climate variability: Lessons from the pink abalone in Baja California,,USA,North America/Caribbean,abalone,mollusc,No
2015,Mussels as a Model System for Integrative Ecomechanics,all,Global,Global,mussel,mollusc,No
2015,Non-stationary extreme value models to account for trends and shifts in the extreme wave climate due to climate change,"storms, extremes",,,,,No
2015,Optimizing de novo transcriptome assembly and extending genomic resources for striped catfish (Pangasianodon hypophthalmus),,Vietnam,Asia,catfish,finfish,No
2015,"Pacific oysters, Crassostrea gigas, established in Scotland",invasives,Scotland,Europe,oyster,mollusc,No
2015,Perceptions of climate-related risks and awareness of climate change of fish cage farmers in northern Thailand,"floods, drought",Thailand,Asia,,,No
2015,Perceptions of shellfish aquaculture in British Columbia and implications for well-being in marine social-ecological systems,,Canada,North America/Caribbean,shellfish,crustacea,No
2015,Physiology and biogeography: The response of European mussels (Mytilus spp.) to climate change,temp,Global,Europe,mussel,mollusc,No
2015,Physiology in the service of fisheries science: Why thinking mechanistically matters,temp,Global,Global,,,No
2015,Planning for Production of Freshwater Fish Fry in a Variable Climate in Northern Thailand,,Thailand,Asia,,,No
2015,Planning for Production of Freshwater Fish Fry in a Variable Climate in Northern Thailand,"temp, precipitation",Thailand,Asia,,,No
2015,Polyhouse driven raised-temperature induces cichlid tilapia to breed during winter,temp,,,tilapia,finfish,No
2015,Population structure and identification of two matrilinear and one patrilinear mitochondrial lineages in the mussel Mytella charruana,,Brazil,South America,mussel,mollusc,No
2015,Predicting environmental drivers for prawn aquaculture production to aid improved farm management,"temp, precipitation, drought",Australia,Oceania,shrimp,crustacea,No
2015,Projected changes to Tasman Sea eddies in a future climate,temp,Australia,Oceania,,,No
2015,"Quantitative Impacts of Climate Change and Human Activities on Water-Surface Area Variations from the 1990s to 2013 in Honghu Lake, China","floods, drought",China,Asia,,,Yes
2015,SCOPING STUDY ON COASTAL SQUEEZE IN THE AYEYARWADY DELTA,"flood, sea level, storms, extremes",Myanmar,Asia,,,No
2015,"SENSITIVITY OF MEDITERRANEAN BIVALVE MOLLUSC AQUACULTURE TO CLIMATE CHANGE, OCEAN ACIDIFICATION, AND OTHER ENVIRONMENTAL PRESSURES: FINDINGS FROM A PRODUCER SURVEY",all,Mediterranean,"Europe, Africa, Middle East",mollusc,mollusc,No
2015,Separated at Birth? Addressing the Twin Crises of Biodiversity and Climate Change,fisheries,Global,Global,,,No
2015,Shrimp aquaculture as a vehicle for Climate Compatible Development in Sri Lanka. The case of Puttalam Lagoon,all,Sri Lanka,Asia,shrimp,crustacea,No
2015,Stakeholder perceptions of the impacts from salmon aquaculture in the Chilean Patagonia,aquaculture,Chile,South America,salmon,finfish,No
2015,Study of Adsorption and Flocculation Properties of Natural Clays to Remove Prorocentrum lima,HAB,Global,Global,,,No
2015,Temperature during early development has long-term effects on microRNA expression in Atlantic cod,temp,Global,"North America/Caribbean, Europe",cod,finfish,No
2015,"The Dynamics, Ecological Variability and Estimated Carbon Stocks of Mangroves in Mahajamba Bay, Madagascar",aquaculture,Madagascar,Africa,mangroves,,No
2015,"The ecology, evolution, impacts and management of host-parasite interactions of marine molluscs",disease,Global,Global,mollusc,mollusc,Yes
2015,The effect of temperature and ration size on specific dynamic action and production performance in juvenile hapuku (Polyprion oxygeneios),temp,,,hapuku,finfish,No
2015,The impact of climate change on existing and emerging microbial threats across the food chain: An island of Ireland perspective,HAB,Ireland,Europe,,,Yes
2015,The potential of Indonesian mangrove forests for global climate change mitigation,aquaculture,Indonesia,Asia,mangroves,,No
2015,The sxt Gene and Paralytic Shellfish Poisoning Toxins as Markers for the Monitoring of Toxic Alexandrium Species Blooms,HAB,Mediterranean,"Europe, Africa, Middle East",shellfish,crustacea,No
2015,Thermal stress in Arctic charr Salvelinus alpinus broodstock: a 28 year case study,temp,Sweden,Europe,artic charr,finfish,No
2015,Transport of harmful marine microalgae via ship's ballast water: Management and mitigation with special reference to the Arabian Gulf region,HAB,Global,Middle East,,,No
2015,"Tropical seaweeds for human food, their cultivation and its effect on biodiversity enrichment",,Global,Global,seaweed,aquatic plants,No
2015,Using bio-optical parameters as a tool for detecting changes in the phytoplankton community (SW Portugal),HAB,Portugal,Europe,,,No
2015,Vulnerability of coastal livelihoods to shrimp farming: Insights from Mozambique,aquaculture,Mozambique,Africa,shrimp,crustacea,No
2015,Wasted seafood in the United States: Quantifying loss from production to consumption and moving toward solutions,,USA,North America/Caribbean,,,No
2016,A bibliometric analysis of oyster research from 1991 to 2014,OA,Global,Global,oyster,mollusc,No
2016,A changing marine sector in Australian coastal communities: An analysis of inter and intra sectoral industry connections and employment,,Australia,Oceania,,,No
2016,A hierarchical approach to defining marine heatwaves,temp,Global,Global,,,No
2016,"A typology of natural resource use for livelihood impact assessments in Nusa Tenggara Barat Province, Indonesia",,Indonesia,Asia,,,No
2016,"ACQUA: Automated Cyanobacterial Quantification Algorithm for toxic filamentous genera using spline curves, pattern recognition and machine learning",HAB,Global,Global,,,No
2016,Adapting Management of Marine Environments to a Changing Climate: A Checklist to Guide Reform and Assess Progress,,Australia,Oceania,,,No
2016,Aquaculture Adaptation to Climate Change in Vietnam's Mekong Delta,all,Vietnam,Asia,,,No
2016,"Aquatic food security: insights into challenges and solutions from an analysis of interactions between fisheries, aquaculture, food safety, human health, fish and human welfare, economy and environment",,Global,Global,,,No
2016,Are fish in hot water? Effects of warming on oxidative stress metabolism in the commercial species Sparus aurata,temp,,,seabream,finfish,No
2016,Assessing relative vulnerability to sea-level rise in the western part of the Mekong River Delta in Vietnam,sea level,Vietnam,Asia,,,No
2016,"Assessment of the thermal tolerance of abalone based on cardiac performance in Haliotis discus hannai, H. gigantea and their interspecific hybrid",temp,China,Asia,abalone,mollusc,No
2016,Atlantic salmon populations reveal adaptive divergence of immune related genes - a duplicated genome under selection,,Global,Global,salmon,finfish,No
2016,Biomimetic and bio-inspired uses of mollusc shells,OA,,,mollusc,mollusc,No
2016,Bivalve aquaculture-environment interactions in the context of climate change,"temp, chla, precipitation",Global,Global,bivalves,mollusc,No
2016,"Brachyuran diversity along Mediterranean Egypt, with the addition of a new introduced species",invasives,Egypt,Middle East,,,No
2016,"Can ""Integrated Multi-Trophic Aquaculture (IMTA)"" adapt to climate change in coastal Bangladesh?","flood, sea level",Bangladesh,Asia,,,No
2016,Can Integrated Multi-Trophic Aquaculture (IMTA) adapt to climate change in coastal Bangladesh?,all,Bangladesh,Asia,shrimp,crustacea,No
2016,"Charting the Research Course for Sustainable Aquaculture in Sabah, Malaysia",pollution,Malaysia,Asia,,,No
2016,"CLIMATE CHANGE ADAPTATION BY MANGROVE-DEPENDENT FISHING COMMUNITIES IN SOUTHERN CROSS RIVER STATE, NIGERIA","aquaculture; flood, sea level, storms, extremes, precipitation",Nigeria,Africa,mangroves,,No
2016,Climate change effects in the Bay of Bengal Large Marine Ecosystem,"temp, disease, storms, extremes",India,Asia,,,No
2016,Climate hindcasts: exploring the disjunct distribution of Diopatra biscayensis,invasives,France,Europe,,,No
2016,"Coastal aquaculture, mangrove deforestation and blue carbon emissions: Is REDD plus a solution?",aquaculture,Global,Global,mangroves,,No
2016,Comparison of Integrated Responses to Nonlethal and Lethal Hypothermal Stress in Milkfish (Chanos chanos): A Proteomics Study,hypoxia,,,milkfish,finfish,No
2016,"Conflictive uses of coastal areas: A case study in a southern European coastal lagoon (Ria de Alvor, Portugal)",all,Global,Europe,,,No
2016,"Cyanobacteria in aquaculture systems: linking the occurrence, abundance and toxicity with rising temperatures","temp, HAB",Malaysia,Asia,,,No
2016,De novo assembly and annotation of the European abalone Haliotis tuberculata transcriptome,,Global,Global,abalone,mollusc,No
2016,Development of quantitative PCR assay for detection of the trematode parasite Proctoeces maculatus in the blue mussel Mytilus edulis,disease,,,mussel,mollusc,No
2016,Does climate change matter for freshwater aquaculture in Bangladesh?,"temp, flood, sea level, drought",Bangladesh,Asia,,,No
2016,Economic impact of climate change and climate change adaptation strategies for fisheries sector in Fiji,,Fiji,Oceania,,,No
2016,Economic impact of climate change and climate change adaptation strategies for fisheries sector in Solomon Islands: Implication for food security,,Solomon Islands,Oceania,,,No
2016,Economic impacts of climate change and climate change adaptation strategies in Vanuatu and Timor-Leste,,Vanuatu and Timor-Leste,Oceania,,,No
2016,Economic impacts of climate change: profitability of freshwater aquaculture in China,all,China,Asia,,,Yes
2016,Ecosystem carbon stocks of mangrove forests along the Pacific and Caribbean coasts of Honduras,aquaculture,Global,Oceania,mangroves,,No
2016,Effects of environmental and farm stress on abalone physiology: perspectives for abalone aquaculture in the face of global climate change,"temp, salinity, disease",Australia,Oceania,abalone,mollusc,No
2016,Effects of temperature and ocean acidification on shell characteristics of Argopecten purpuratus: implications for scallop aquaculture in an upwelling-influenced area,"OA, temp",Chile,South America,scallop,mollusc,No
2016,Effects of temperature on the final stages of sexual maturation in Atlantic salmon (Salmo salar L.),temp,,,salmon,finfish,No
2016,Environmental impacts of genetic improvement of growth rate and feed conversion ratio in fish farming under rearing density and nitrogen output limitations,,Global,Global,catfish,finfish,No
2016,Environmental performance of copper-alloy Net-pens: Life cycle assessment of Atlantic salmon grow-out in copper-alloy and nylon net-pens,,Global,Global,salmon,finfish,No
2016,Evidence of freshwater algal toxins in marine shellfish: Implications for human and aquatic health,HAB,USA,North America/Caribbean,"mussel, oyster",mollusc,No
2016,"Evolutionary social and biogeophysical changes in the Amazon, Ganges-Brahmaputra-Meghna and Mekong deltas","flood, sea level, drought",Global,Asia; South America,,,No
2016,Germplasm banking of the giant kelp: Our biological insurance in a changing environment,"storms, extremes, disease",Chile,South America,kelp,aquatic plants,No
2016,Green economy transition and the sustainability of the Nigerian aquaculture industry: Policy perspectives and the way forward,fisheries,Nigeria,Africa,,,No
2016,"Impacts of Climate Change on the Environment, Economy, and Society of China",sea level,China,Asia,,,Yes
2016,Impacts of land use on Indian mangrove forest carbon stocks: Implications for conservation and management,aquaculture,India,Asia,mangroves,,No
2016,Impacts of ocean acidification in a warming Mediterranean Sea: An overview,"temp, OA",Mediterranean,"Europe, Africa, Middle East",,,Yes
2016,"Impacts, Perceptions and Management of Climate-Related Risks to Cage Aquaculture in the Reservoirs of Northern Thailand","temp, hypoxia, precipitation, storms/extremess",Thailand,Asia,,,Yes
2016,"Implications of marine environment change on Japanese scallop (Mizuhopecten yessoensis) aquaculture suitability: a comparative study in Funka and Mutsu Bays, Japan",temp,Japan,Asia,scallop,mollusc,No
2016,"Integrated assessment of social and environmental sustainability dynamics in the Ganges-Brahmaputra-Meghna delta, Bangladesh","floods, drought",Bangladesh,Asia,,,No
2016,Interactive Effects of Seawater Acidification and Elevated Temperature on the Transcriptome and Biomineralization in the Pearl Oyster Pinctada fucata,"OA, temp",,,oyster,mollusc,No
2016,"It is the economy, stupid! Projecting the fate of fish populations using ecological-economic modeling",fisheries,Global,Global,,,No
2016,"Key aspects of the biology, fisheries and management of Coral grouper",fisheries,Indo-pacific,Oceania,grouper,finfish,No
2016,Mangrove system dynamics in Southeast Asia: linking livelihoods and ecosystem services in Vietnam,aquaculture,Vietnam,Asia,mangroves,,No
2016,Mechanism and Aquaculture Application of Teleost Enzymes Adapted at Low Temperature,temp,Global,Global,fish,finfish,No
2016,Meeting the climate change challenge: Pressing issues in southern China and SE Asian coastal ecosystems,all,China,Asia,,,No
2016,MicroRNA in aquaculture fishes: a way forward with high-throughput sequencing and a computational approach,,Global,Global,,,No
2016,Mitigating uncertainty and enhancing resilience to climate change in the fisheries sector in Taiwan: Policy implications for food security,all,Taiwan,Asia,,,No
2016,"Non-additive effects of ocean acidification in combination with warming on the larval proteome of the Pacific oyster, Crassostrea gigas","temp, OA",,,oyster,mollusc,No
2016,On the neglected cold side of climate change and what it means to fish,temp,Global,Global,fish,finfish,No
2016,Phosphorus partitioning in sediments from a tropical reservoir during a strong period of drought,drought,Brazil,South America,,,No
2016,Predicting and mapping the risk of introduction of marine non-indigenous species into Great Britain and Ireland,invasives,United Kingdom,Europe,,,No
2016,Predicting the Dispersal Potential of an Invasive Polychaete Pest along a Complex Coastal Biome,Invasives,Global,Africa,,,No
2016,"Rehabilitating mangrove ecosystem services: A case study on the relative benefits of abandoned pond reversion from Panay Island, Philippines",aquaculture,Philippines,Asia,mangroves,,No
2016,Respiration rates of the copepod Pseudodiaptomus annandalei in tropical waters: beyond the thermal optimum,temp,Malaysia,Asia,,,No
2016,Restoring habitat and cultural practice in Australia's oldest and largest traditional aquaculture system,"floods, drought",Australia,Oceania,eel,finfish,No
2016,"Review of the Decline in Freshwater Natural Resources and Future of Inland Fisheries and Aquaculture: Threatened Livelihood and Food Security in Indus Valley, Pakistan","flood, drought, precipitation",Pakistan,Middle East,,,No
2016,Seasonal forecasting for decision support in marine fisheries and aquaculture,all,Australia,Oceania,,,No
2016,"Susceptibility to environmental variability of the aquaculture sector in the State of Colima, Mexico: case study",temp,Mexico,Central America,tilapia,finfish,No
2016,Synthesis and comparative analysis of physiological tolerance and life-history growth traits of marine aquaculture species,"temp, hypoxia",Global,Global,,,No
2016,Temperature Increase Negatively Affects the Fatty Acid Bioconversion Capacity of Rainbow Trout (Oncorhynchus mykiss) Fed a Linseed Oil-Based Diet,temp,,,trout,finfish,No
2016,The Potential of Mangrove Forest as a Bioshield in Malaysia,aquaculture,Malaysia,Asia,mangroves,,No
2016,Tissue-overlapping response of half-smooth tongue sole (Cynoglossus semilaevis) to thermostressing based on transcriptome profiles,"temp, hypoxia",China,Asia,sole,finfish,No
2016,Towards the optimization of performance of Atlantic salmon reared at different water temperatures via the manipulation of dietary ARA/EPA ratio,temp,,,salmon,finfish,No
2016,Towards using thermal stress thresholds to predict salmonid invasion potential,"temp, invasives",South Africa,Africa,salmon,finfish,No
2016,Transcriptome and biomineralization responses of the pearl oyster Pinctada fucata to elevated CO2 and temperature,"temp, OA",,,oyster,mollusc,No
2016,"Variations in massive Porites growth rates at Hainan Island, northern South China Sea",temp,China,Asia,,,No
2016,"Vulnerability Assessment to Climate Change of Households from Mabacan, Sta. Cruz and Balanac Watersheds in Laguna, Philippines",,Philippines,Asia,,,No
2016,Vulnerability of a semienclosed estuarine sea to ocean acidification in contrast with hypoxia,"OA, hypoxia",USA,North America/Caribbean,,,No
2016,Water Management for Agricultural Production in a Coastal Province of the Mekong River Delta Under Sea-level Rise,sea level,Vietnam,Asia,,,No
2017,A comparative appraisal of the resilience of marine social-ecological systems to mass mortalities of bivalves,all,Global,Global,bivalves,mollusc,No
2017,An Innovative Model for Engagement of Rural Citizens/Community of Bangladesh with Climate Change,,Bangladesh,Asia,,,No
2017,"Anthropogenic threat assessment of marine-associated fauna in Spencer Gulf, South Australia",all,Australia,Oceania,,,No
2017,Application of Different Evapotranspiration Models to Calculate Total Agricultural Water Demand in a Tropical Region,precipitation,Vietnam,Asia,,,No
2017,Aquavoltaics: Synergies for dual use of water area for solar photovoltaic electricity generation and aquaculture,,USA,North America/Caribbean,,,No
2017,Assessment and management of the North Brazil Shelf Large Marine Ecosystem,aquaculture,Brazil,South America,mangroves,,No
2017,Biochemical alterations in native and exotic oyster species in Brazil in response to increasing temperature,temp,Brazil,South America,oyster,mollusc,No
2017,Biological invasions in aquatic ecosystems in China,Invasives,China,Asia,,,No
2017,BREEDING AND GENETICS SYMPOSIUM: Climate change and selective breeding in aquaculture,,Global,Global,,,No
2017,Can greening of aquaculture sequester blue carbon?,,Global,Global,,,No
2017,Can Seaweed Farming Play a Role in Climate Change Mitigation and Adaptation?,,Global,,seaweed,aquatic plants,No
2017,Carbon sequestration processes and mechanisms in coastal mariculture environments in China,,China,Asia,"seaweed, shellfish",crustacea,No
2017,CLIMATIC FORECASTING OF WIND AND WAVES USING FUZZY INFERENCE SYSTEMS,"storms, extremes",North Atlantic Ocean,Global,,,No
2017,"Combined physical, chemical and biological factors shape Alexandrium ostenfeldii blooms in the Netherlands",HAB,Netherlands,Europe,,,No
2017,"Comparative Study on Hatching Rate, Survival Rate, and Feminization of Onychostoma barbatulum (Pellegrin, 1908) at Different Temperatures and Examining Sex Change by Gonad and Karyotype Analyses",temp,,,carp,finfish,No
2017,Cultural resources and public trust shape attitudes toward climate change and preferred futures-A case study among the Norwegian public,,Norway,Europe,,,No
2017,"Current state of goods, services and governance of the Humboldt Current Large Marine Ecosystem in the context of climate change",,"Peru, Chile",South America,,,No
2017,Dependency on aquaculture in northern Vietnam,all,Vietnam,Asia,,,No
2017,Designing a global assessment of climate change on inland fishes and fisheries: knowns and needs,"temp, precipitation",Global,Global,,,No
2017,Distributional changes in a guild of non-indigenous tunicates in the NW Atlantic under high-resolution climate projections,invasives,Canada,North America/Caribbean,,,No
2017,"Early nutritional programming affects liver transcriptome in diploid and triploid Atlantic salmon, Salmo salar",,Global,Global,salmon,finfish,No
2017,Effectiveness of Forest Management and Safeguarding Interest of the Local People of Sundarbans in Bangladesh,aquaculture,Bangladesh,Asia,mangroves,,No
2017,"Effects of a bio-invasion of the Pacific oyster, Crassostrea gigas (Thunberg, 1793) in five shallow water habitats in Scandinavia",invasives,Scandinavia,Europe,oyster,mollusc,No
2017,Effects of thermal stress on the immune and oxidative stress responses of juvenile sea cucumber Holothuria scabra,temp,Global,Global,cucmber,other invert,No
2017,Establishing the thermal window for aerobic scope in New Zealand geoduck clams (Panopea zelandica),temp,New Zealand,Oceania,clam,mollusc,No
2017,"Estrogen therapy offsets thermal impairment of vitellogenesis, but not zonagenesis, in maiden spawning female Atlantic salmon (Salmo salar)",temp,,,salmon,finfish,No
2017,"Evaluating the contribution of diversified shrimp-rice agroecosystems in Bangladesh and West Bengal, India to social-ecological resilience","flood, sea level",Bangladesh,Asia,shrimp,crustacea,No
2017,Expert based model building to quantify risk factors in a combined aquaculture-agriculture system,,Vietnam,Asia,shrimp,crustacea,No
2017,Exposing Northern shrimp (Pandalus borealis) to fish feed containing the antiparasitic drug diflubenzuron caused high mortality during molting,disease,Norway,Europe,shrimp,crustacea,No
2017,Factors affecting yield and gelling properties of agar,temp,Global,Global,seaweed,aquatic plants,No
2017,"Farmers' perceptions of climate change, impacts on freshwater aquaculture and adaptation strategies in climatic change hotspots: A case of the Indian Sundarban delta","temp, precipitation, sea level, storms/extremess",India,Asia,,,Yes
2017,"Household social vulnerability to natural hazards in the coastal Tran Van Thoi District, Ca Mau Province, Mekong Delta, Vietnam",stroms,Vietnam,Asia,,,No
2017,hsp90 and hsp47 appear to play an important role in minnow Puntius sophore for surviving in the hot spring run-off aquatic ecosystem,temp,India,Asia,minnow,finfish,No
2017,"Human activities and coastal erosion on the Kien Giang coast, Vietnam","flood, sea level",Vietnam,Asia,,,No
2017,"Human ecological effects of tropical storms in the coastal area of Ky Anh (Ha Tinh, Vietnam)",stroms,Vietnam,Asia,,,No
2017,Hydrochemistry and trophic state change in a large reservoir in the Brazilian northeast region under intense drought conditions,drought,Brazil,South America,,,No
2017,"Impact of Oxygen Depletion on Planktonic Community with Emphasis Temperature Dynamics at Aquaculture Scale in Blanakan, West Java","temp, hypoxia","Blanakan, West Java",Asia,,,Yes
2017,"Impact of temperature on sea bass, Dicentrarchus labrax, retina: Fatty acid composition, expression of rhodopsin and enzymes of lipid and melatonin metabolism",temp,,,,,Yes
2017,Impacts of climate change on snakehead fish value chains in the Lower Mekong Basin of Cambodia and Vietnam,all,"Vietnam, Cambodia",Asia,snakehead,finfish,Yes
2017,Impacts of Land-Use Changes on the Lakes across the Yangtze Floodplain in China,floods,China,Asia,,,Yes
2017,Interannual water quality changes at the head of a tropical estuary,"temp, hypoxia, precipitation",Brazil,South America,,,No
2017,Intrinsic optimum temperature for the development of decapod crustacean larvae based on a thermodynamic model,temp,Global,Global,crustaceans,crustacea,No
2017,Large-scale climatic effects on traditional Hawaiian fishpond aquaculture,"temp, hypoxia",USA,North America/Caribbean,,,No
2017,Lessons from two high CO2 worlds - future oceans and intensive aquaculture,"temp, OA",Global,Global,,,No
2017,"Life cycle assessment of seaweed biomethane, generated from seaweed sourced from integrated multi-trophic aquaculture in temperate oceanic climates",,Global,Global,seaweed,aquatic plants,No
2017,"Linked sustainability challenges and trade-offs among fisheries, aquaculture and agriculture",temp,Global,Global,,,No
2017,Linking the biological impacts of ocean acidification on oysters to changes in ecosystem services: A review,OA,Global,Global,oyster,mollusc,Yes
2017,Lipid-enriched diets reduce the impacts of thermal stress in corals,temp,,,coral,other invert,Yes
2017,Market driven management of climate change impacts in the Spanish mussel sector,,Spain,Europe,mussel,mollusc,No
2017,"MASS MORTALITY IN NOAH ARK ARCA NOAE (LINNAEUS, 1758): A CASE STUDY FROM THE STRAIT OF MESSINA (MEDITERRANEAN SEA)",temp,Mediterranean,"Europe, Africa, Middle East",bivalves,mollusc,No
2017,Mechanisms and risk of cumulative impacts to coastal ecosystem services: An expert elicitation approach,,New Zealand,Oceania,,,No
2017,Multiple across-strain and within-strain QTLs suggest highly complex genetic architecture for hypoxia tolerance in channel catfish,hypoxia,Global,Global,catfish,finfish,No
2017,Non-native marine species in north-west Europe: Developing an approach to assess future spread using regional downscaled climate projections,invasives,Global,Europe,,,No
2017,Occurrence of four species of algae in the marine water of Hong Kong,HAB,Hong Kong,Asia,,,No
2017,Ocean acidification and marine aquaculture in North America: potential impacts and mitigation strategies,OA,Global,North America/Caribbean,molluscs,mollusc,Yes
2017,Ocean acidification: assessing the vulnerability of socioeconomic systems in Small Island Developing States,OA,SIDS,SIDS,,,No
2017,"On the occurrence of three non-native cichlid species including the first record of a feral population of Pelmatolapia (Tilapia) mariae (Boulenger, 1899) in Europe",invasives,Global,Europe,tilapia,finfish,No
2017,"Organic certification for shrimp value chains in Ca Mau, Vietnam: a means for improvement or an end in itself?",,Vietnam,Asia,shrimp,crustacea,No
2017,Physiological and histopathological impacts of increased carbon dioxide and temperature on the scallops Argopecten purpuratus cultured under upwelling influences in northern Chile,"temp, OA",Chile,South America,scallop,mollusc,Yes
