Date,Headline,Quote,State/Province,Country,Region,Topic,Taxa,Impact,Other,Occurrence
2016,Fish farms a necessity: minister,"In that time, Newfoundland's fish farming sector has taken off, while Nova Scotia's ... According to Climate Change Nova Scotia, warmer water temperatures may ...","Nova Scotia, Newfoundland",Canada,North America/Caribbean,temp,all,negative,impact,future
2016,Susan Fitzer,"... of biomineralisation pathways is key to predict climate change impact on aquaculture'. Climate change, in particular ocean acidification and global warming, ...",,World,World,OA,shellfish,negative,impact,future
2016,"Ghana, Italy agree to create fishery clusters",... Italy last December by the ministry of fisheries and aquaculture development ... to improve fields and control the fisheries sector in this age of climate change.,,"Ghana, Italy",Africa,multiple,all,positive,adapt,future
2016,Saline intrusion hits shrimp farmers in Mekong Delta,"Pham Hoang Son, head of the province's Aquaculture Sub-department, said the ... rice year-round because of climate change, farmers have rotated planting of ...",Mekong Delta ,Vietnam,Asia,"sea level, flood",shrimp,negative,impact,now
2017,"Climate change, population growth may lead to open ocean aquaculture",A new analysis suggests that open-ocean aquaculture for three species of finfish is a viable option for industry expansion under most climate change scenarios,,World,World,"temp, storms",fish,positive,adapt,future
2017,Research reveals how climate change may affect Hawaiian fishpond ...,"For centuries, indigenous peoples of the Hawaiian Islands practiced sustainable aquaculture by building walled fishponds in coastal estuaries. Historical ...",Hawaii,USA,North America/Caribbean,multiple,fish,negative,impact,now
2017,EU launches new sustainable fisheries project to fight climate change ...,"“ClimeFish will prepare Europe when it comes to climate change and safeguard fisheries and aquaculture, the focus is on the most produced and most resilient .",,Europe,Europe,multiple,all,positive,adapt,now
2017,Climate Change's Impact on Hawaiian Fishpond Aquaculture,Climate Change's Impact on Hawaiian Fishpond Aquaculture ... light about what needs to be done as the cultural resource is under threat by climate change.,Hawaii,USA,North America/Caribbean,"temp, storms",fish,negative,impact,now
2017,Will Policymakers Listen to Climate Change Science This Time Around?,"BREMERHAVEN, Germany, Nov 8 2017 (IPS) - Climate change is altering the .... of coral reefs that provide habitat and coastal protection will affect aquaculture .",,Germany,World,multiple,all,negative,impact,future
2017,"To understand climate change, look at it from a mussel's perspective","The phrase “climate change” triggers images of a huge, global phenomenon. .... West Coast, and by collaborators working with the aquaculture industry in Italy.",,"Italy, USA",Europe,multiple,mussels,negative,impact,future
2017,NOAA site aims to help fishing communities bounce back,"... to help fishing communities be more resilient in the face of climate change, ... fishermen, innovators and entrepreneurs in aquaculture and the burgeoning ...",East Coast,USA,North America/Caribbean,multiple,all,positive,adapt,future
2017,Salmon aquaculture research project receives more than $4M in funding,"One of the challenges facing the salmon aquaculture industry in Atlantic Canada ... an opportunity to protect itself against adverse climate change effects, “it also ...",Atlantic,Canada,North America/Caribbean,multiple,salmon,negative,"impact, adapt",future
2017,"As climate change takes shape, fears over its threat to cultural ...","For 16 years, volunteers and community leaders have worked to restore He'eia Fishpond, an 800-year-old marvel of sustainable aquaculture","Hawaii, KANEOHE",USA,North America/Caribbean,"sea level, storms",fish,negative,impact,now
2017,Fish farming in danger - WRI,"According to them, freshwater aquaculture of many fishing communities along the Volta Lake was being affected by climate change, flooding, drought and high …",Volta Lake,Ghana,Africa,"temp, drought, floods",fish,negative,impact,now
2017,"Sea the possibilities: to fight climate change, put seaweed in the mix","The next stage of humanity's fight to reduce greenhouse emissions may revolve around seaweed, according to tonight's episode of ABC's Catalyst, presented by ...",,World,World,multiple,seaweed,positive,adapt,future
2017,Tanzania's Innovative Aquaculture Industry,"Key players from across Tanzania's aquaculture industry will gather in Dar es ... are working in often hazardous conditions, and climate change has reduced the ...",,Tanzania,Africa,temp,seaweed,negative,impact,now
2017,How farming giant seaweed can feed fish and fix the climate,"Despite the huge expansion in aquaculture, and the experiences gained in ... The stupendous potential of seaweed farming as a tool to combat climate change ...",,World,World,multiple,seaweed,positive,adapt,future
2017,Mekong Delta fights for survival amidst climate change and unbridled ...,Mekong Delta fights for survival amidst climate change and unbridled development ... for sustainable certification by the Aquaculture Stewardship Council (ASC).,Mekong Delta,Vietnam,Asia,"temp, sea level, precipitation",all,negative,impact,now
2017,Tapping automation to make aquaculture more productive,"They were: Barramundi Asia, Marine Life Aquaculture, Metropolitan Fishery Group, ... ""Climate change can cause elevated water temperatures and increased ..",,Singapore,Asia,"temp, OA",all,negative,impact,future
2017,Taking Notes: Aquaculture,"With traditional fisheries facing challenges of reduced stock and climate change, aquaculture is hoped to provide a more sustainable alternative. We caught up ...",,Australia,Oceania,multiple,all,positive,adapt,future
2017,Ocean Pathway Launched at COP 23,... Changing Climate'; resilience of fisheries and aquaculture to climate change; blue carbon; accessing financial resources and mobilizing financial institutions; ...,,World,World,,,,,
2017,"As climate warms, human disease risk from bay oysters will grow ...","If the Chesapeake Bay grows warmer because of climate change, it also likely ... and the states require oysters harvested through aquaculture during that time of ...",Chesapeake Bay,USA,North America/Caribbean,temp,oysters,negative,impact,now
2017,Stronger salmon,“This investment will allow Dr. Gamperl to continue his work to enable the Atlantic salmon aquaculture industry to better prepare for the effects of climate change.,,Canada,North America/Caribbean,multiple,salmon,positive,adapt,future
2017,"In most disaster-prone region, climate change to have devastating ...",As climate change deniers are influencing global policies for some ... sea-level rise impacting aquaculture and rainfall pattern changes that disrupts ecosystems.,,Asia,Asia,sea level,all,negative,impact,future
2017,NOAA Sea Grant Cut Could Slow Climate Adaptation,"“Sea grants are and would be critical even if there was no climate change,” said ... Sea Grant this year, which included $9 million set aside for aquaculture work.",,USA,North America/Caribbean,multiple,all,negative,impact,future
2017,Meet the new US entrepreneurs farming seaweed for food and fuel,... it's not an option of whether or not the world should embrace and boost seaweed farming for food production. He says: “If climate change is as bad as we think ...,,USA,North America/Caribbean,multiple,seaweed,positive,adapt,future
2017,Maximizing the Potential of Chile's Fish Farms,Climate change is just one of the challenges that ports in Chile increasingly have ... How can Chile's aquaculture industry maximize this technology's potential?,,Chile,South America,multiple,salmon,negative,impact,now
2017,Experts Destroy Tony Abbott's Stance On Climate Change [Updated],"Climate change itself is probably doing good; or at least, more good than harm. .... ""Warming seas in Tasmania are affecting salmon aquaculture, a >$100 million ...",Tasmania,Australia,Oceania,temp,salmon,negative,impact,now
2017,Can We Save Low-Lying Island Nations From Rising Seas?,"Though climate change has been an internationally recognized challenge since .... industries such as sustainable aquaculture and renewable energy sources, ...",,Small Island Nations,Oceania,sea level,all,positive,adapt,future
2017,Testing the potential for adaptation to climate change,"Climate change is a major threat for the Earth's biodiversity, and the persistence of ... of parasites some of which cause wide losses, for instance, in aquaculture.",Tasmania,World,World,parasites,all,negative,impact,future
2017,Why government should invest more in fish farming,"As is the case in other countries globally, there has been a gradual decline in capture fisheries resources in Rwanda because of effects of climate change, ...",,Rwanda,Africa,multiple,all,positive,adapt,future
2017,"Marine hotspot off Tasmania most intense yet, more damaging ...","... would be important for the state's multi-million-dollar aquaculture industry. ... ""The type of response we saw in the region is consistent with climate change and ...",Tasmania,Australia,Oceania,temp,fish,negative,impact,now
2017,Vietnam's response to climate change? A shrimp and mangrove cocktail,"The initial phase of the Mangroves and Markets project enlisted 2,000 families living in two protected mangrove forests that were losing tree cover to aquaculture ...",,Vietnam,Asia,"temp, sea level, drought",shrimp,negative,impact/adapt,now
2017,Talking Point: Farming the future as well as the fish,I won't pretend that the current outbreak of attacks on salmon aquaculture ... How can we adapt to climate change impacts like rising sea-water temperatures?,,World,World,multiple,all,positive,adapt,future
2017,Indonesian collaboration,"INVEST Co-op Indonesia will introduce aquaculture practices that are not only resilient to climate change, but also increase quality and yield of production.",,Indonesia,Asia,multiple,all,positive,adapt,future
2017,Small-scale fishers get lifeline with new insurance program,“The Caribbean Ocean and Aquaculture Sustainability Facility (COAST) proposes ... fisheries sector in the Caribbean against increasing climate-change related ,,Caribbean,North America/Caribbean,multiple,all,positive,adapt,future
2017,Do farmed Atlantic salmon have a future on the West Coast?,"Related A fisherman's plan to feed the world and reduce climate change U.S. seeks to ... Nell Halse, a spokesperson for Cooke Aquaculture, the Canada-based ...",,USA,North America/Caribbean,multiple,salmon,neutral,,
2017,Moss Landing researchers win grant,Their winning proposal intends to study a land-based aquaculture practice using ... turned to address a core universal issue within the industry: climate change.,,USA,North America/Caribbean,multiple,fish,positive,adapt,future
2017,Major NZ climate report: The five defining figures,"""The future impacts of climate change on our lives all depend on how fast global .... such as commercial fishing and aquaculture, and Maori customary practice.",,New Zealand,Oceania,multiple,all,negative,adapt,future
2017,High Schoolers Have High Hopes for Saving Corals,"“My students have a love of aquaculture and aquarium-keeping,” says Erin ... hardier strains of coral adept at coping with climate change stressors such as ...",New York,USA,North America/Caribbean,multiple,coral,positive,adapt,future
2017,Norwegian legislative debate offers hope for gene editing in aquaculture,"In a move that could have huge implications for global aquaculture, a new way to ... given the interlinked global challenges of climate change, population growth ...",,Norway,Europe,multiple,all,positive,adapt,future
2017,Genetically-modified crops included in Queensland climate change ...,Genetically-modified crops included in Queensland climate change plans ... Some aquaculture species such as tiger prawns may have higher growth rates with ..,,Australia,Oceania,temp,shrimp,positive,impact,future
2017,Coastal fish farmers struggle to stay afloat in choppy waters,"Fish farming, being what it is, requires a long time to reap returns,"" said a ... Marine Science Institute at the National University of Singapore, said climate change ...",,Singapore,Asia,"temp, HAB",fish,negative,impact,now
2017,"Off the African coast, a new tool in the fight against climate change ...","The threat of climate change and rising sea levels are very real to small, developing ..... utilize underwater drones to monitor octopus nesting and aquaculture.",Zanzibar,Africa,Africa,sea level,all,positive,adapt,now
2017,Could Floating Cities Help Us Adapt to Climate Change?,Their design also suggests that they could host small-scale aquaculture and ... prove these floating platforms are more of a tangible climate change solution than ...,,World,World,multiple,all,positive,adapt,future
2017,Africa feeling the heat of climate change,"Many of these are grappling with the effects of climate change, including rising sea .... In North Africa, the focus will start with fisheries, aquaculture and ocean ...",North,Africa,Africa,"temp, sea level",all,negative,impact,now
2017,Genetic key to salt-tolerance discovered in tilapia fish,Climate change threatens to make osmoregulation even more difficult for marine and ... producing hybrids that are used worldwide in aquaculture operations.,,World,World,sea level,tilapia,positive,adapt,future
2017,"Discarded oyster shells can help us grow food, make cement, and fight ...",“Not only does it improve the sustainability of the aquaculture industry moving ... Morris focuses his research on the effects of climate change on these sea ...,,World,World,sea level,shellfish,positive,adapt,future
2017,Ocean acidification threatens Massachusetts shellfish industry,"But climate change is affecting the water chemistry these shellfish need to grow and ... for coastal waters, which is where shellfish aquaculture farms are located.",Massachusetts,USA,North America/Caribbean,OA,shellfish,negative,impact,now
2017,Scaling up local fish production for the dining table with vaccines,"Coupled with declining global fish production caused by climate change, it is ... prevention, even as we scale up our local aquaculture production,” he said",,Singapore,Asia,multiple,fish,positive,adapt,future
2018,Impacts of climate change on fisheries and aquaculture: Synthesis of ...,Climate change poised to transform marine and freshwater ecosystems. The livelihoods of millions of fishery-dependent people at risk - FAO Director-General ,,World,World,multiple,all,negative,impact,future
2018,Europe must sea food in a new way thanks to warming waters,"Aquaculture, or fish farming, is one of the world's fastest growing food sectors, providing about half of all the fish we eat. As it stands, climate change is altering ...",,Europe,Europe,temp,all,negative,impact,now
2018,Mass Die-Off of Farmed Salmon Linked to Climate Change,"But it won't be the last time climate change is tied to die-offs in aquacultureoperations, scientists say, and harmful algal blooms may be the prime cause of those ...",,Chile,South America,HAB,salmon,negative,impact,now
2018,Marine aquaculture and the need to protect global food security,"Published in the journal Nature Ecology and Evolution, their study, ""Global change in marine aquacultureproduction potential under climate change,"" reveals ...",,World,World,multiple,"fish, bivalves",negative,impact,now
2018,Can Seagrass Save Shellfish From Climate Change?,"The impacts of climate change aren't a far-off possibility for the Pacific shellfish industry. ... ""From an aquaculture point of view, you bet I'm hopeful,"" Sawyer says.",,USA,North America/Caribbean,multiple,"seagrass, shellfish",positive,adapt,future
2018,CRFM fast tracks protocol for climate change and disaster risk ...,"Mr. Walling will be consulting with government and non-government stakeholders in fisheries/aquaculture, climate change and disaster risk management, ...",,Caribbean,North America/Caribbean,storms,all,positive,adapt,now
2018,Aquaculture and climate change in Micronesia,RICHARD Brooks of Lightning Strikes Production in Palau said one way to mitigate the impact of climate change on Micronesian aquaculture is to have it in ...,,Micronesian ,Asia,multiple,bivalves,negative,impact,future
2018,Modelling the impact of climate change on global marine aquaculture ...,A study published on 10 September in Nature Ecology & Evolution has brought to light the current threat aquaculture farmers are facing owing to climate change ...,,World,World,multiple,"bivalves, finfish",negative,impact,future
2018,Alaska wary of federal push for marine aquaculture,“Aquaculture is going to be where the major increases in seafood production ... his pitch for aquaculture he alluded to the elephant in the room: climate change.,Alaska,USA,North America/Caribbean,multiple,all,positive,adapt,future
2018,How climate change could derail fish farmers,"Aquaculture, the cultivation of fish and other aquatic species, is the world's fastest growing food sector, but preparing for climate change is vital for future ...",,World,World,multiple,"bivalves, finfish",negative,impact,future
2018,Caribbean looks to add climate change adaptation protocol into ...,The Caribbean Regional Fisheries Mechanism (CRFM) is seeking to put in place a protocol for climate change adaption in fisheries and aquaculture before the ...,,Caribbean,North America/Caribbean,multiple,all,positive,adapt,now
2018,The Lowly Seagrass That Could Save Your Oysters From Climate ...,"The impacts of climate change aren't a distant threat for the Pacific shellfish industry. .... “From an aquaculture point of view, you bet I'm hopeful,” Sawyer says.",,USA,North America/Caribbean,OA,"seagrass, shellfish",positive,adapt,future
2018,Alaskans take to the seas to fight climate change,Alaskans take to the seas to fight climate change .... could apply to projects to protect Alaska's growing aquaculture industry from the effects of climate change.,Alaska,USA,North America/Caribbean,multiple,all,positive,adapt,future
2018,Universal migration predicts human movements under climate change,"“Similarly, a great deal of the country's coastal aquaculture is vulnerable to climate change impacts, and this will probably have important nutritional and ...",,Bangladesh,Asia,sea level,all,negative,impact,future
2018,The Ocean Is Losing Its Breath,"To halt the decline, the world needs to rein in both climate change and nutrient ... In the Philippines, fish kills in a single town's aquaculture pens cost more than ...",,Philippines,Asia,hypoxia,fish,negative,impact,now
2018,Seven Shellfish Growers Lead a Growing Coalition to Promote ...,Oyster growers around the country are feeling the impacts of climate change and ... Oysters and board member for the Massachusetts Aquaculture Association.,,USA,North America/Caribbean,multiple,oysters,positive,adapt,future
2018,Agroecology session set for AQUA2018,"A special session on the use of agroecology in aquaculture is being organised by ... aquaculture, but also for helping the sector to adapt to climate change.",,World,World,multiple,all,positive,adapt,future
2018,'Devastating' ocean heatwaves are alarmingly on the rise,"... biodiversity, fisheries, tourism and aquaculture,” said the study's lead author ... surface temperatures consistent with climate change effects, the study found.",,World,World,temp,all,negative,impact,now
2018,How climate change will alter our food,"But scientists say that the impacts of climate change—higher temperatures, extreme .... the booming catfish aquaculture could be affected by saltwater intrusion.",Mekong Delta,Vietnam and Myanmar,Asia,sea level,catfish,negative,impact,future
2018,Algeria invests in desert fish farming to boost food production,Algeria invests in desert fish farming to boost food production ... But UN studies say climate change means nearly half the world population will live in high water ..,,Algeria,Africa,"temp, drought",fish,negative,impact,future
2018,Meet the Teenagers Leading a Climate Change Movement,"“In our generation when we talk about climate change, they're like: 'Ha ha, that's .... (water-based planting) and aquaculture (fish cultivation) — and raise $700 to ...",,USA,North America/Caribbean,,,,,
2018,Aid for oceans and fisheries in developing world drops by 30 percent,Fisheries and aquaculture supply 17 percent of animal protein and provide ... under climate change are in line with international development goals and targets.,,World,World,multiple,all,negative,impact,now
2018,Farming clams in Maine could help save them from climate change,Farming clams in Maine could help save them from climate change .... Coffin echoed Beal in saying that adopting more of an aquaculture approach that seeks to ...,Maine,USA,North America/Caribbean,"temp, HAB, OA",clams,positive,adapt,future
2018,Aquafarming and food security,"More seafood comes from aquaculture than is wild caught, but the industry has to address the effects of climate change if it is to continue to grow and contribute ...",,World,World,multiple,"fish, bivalves",negative,impact,future
2018,Aquaculture initiatives prioritised in sustainable seafood competition,"We're seeing remarkable advances aimed at aquaculture sustainability, ocean resilience to climate change, traceability and transparency, reducing waste, and ...",,World,World,multiple,all,positive,adapt,now
2018,Sydney rock oysters getting smaller as oceans become more acidic,"... are exacerbated by future climate change and sea level rise, this could have a huge impact on commercial aquaculture and populations around the world.”.",Sydney,Australia,Oceania,"OA, sea level",oysters,negative,impact,now
2018,"The Caribbean Protects Fishing, Ag Sectors from Climate Change","The Caribbean Protects Fishing, Ag Sectors from Climate Change ... and aquaculturepolicies that help fishing communities adapt to climate change adaptation ...",,Caribbean,North America/Caribbean,multiple,all,positive,adapt,now
2018,China launches marine satellite to study climate change,"China launches marine satellite to study climate change ... The data will help survey fishery and aquaculture resources and environments, offering a scientific ...",,China,Asia,multiple,all,positive,adapt,now
2018,A hard shell: how mussels are affected by ocean acidification,"Research carried out on day-old mussel larvae explores the effect of a changing climate on shell development, with potential applications for aquaculture and ..",,World,World,OA,mussels,negative,impact,future
2018,"From camels to catfish, Algeria boosts fish farming in the Sahara desert","From camels to catfish, Algeria boosts fish farming in the Sahara desert ... But U.N. studies say climate change means nearly half the world population will live in ...",,Algeria,Africa,"temp, drought",catfish,negative,impact,future
2018,"Marine heatwaves are getting hotter, lasting longer and doing more ...","Climate change is warming ocean waters and causing shifts in the distribution ... of the ecosystem and the economic benefits, such as fisheries and aquaculture, ...",,World,World,temp,all,negative,impact,now
2018,Adaptation measures needed to sustainably develop aquaculture,"HCM City (VNA) – Effective adaptation measures are important to sustainably developing aquaculture sector in the context of climate change, heard a ...",,Vietnam,Asia,multiple,all,positive,adapt,now
2018,Northam administration takes new steps to fight climate change,"Northam administration takes new steps to fight climate change ... an enormous threat to the Commonwealth's shellfish aquaculture industry, commercial and ...",Virginia,USA,North America/Caribbean,OA,shellfish,positive,adapt,now
2018,UAE to build 'world's largest' coral garden in Fujairah,"The UAE's Ministry of Climate Change and Environment (MOCCAE) and the ... Equipment and materials needed for coral aquaculture and transplantation, and ...",,UAE,Middle East,multiple,coral,positive,adapt,now
2018,"ICBA plays a vital role in tackling climate change, poverty & hunger in ...","Dr. Bandar Hajjar was briefed about ICBA's research-for-development initiatives in such areas as aquaculture and bioenergy, climate change adaptation, natural ...",Dubai,UAE,Middle East,multiple,,,,
2018,Morocco aims to double value of seafood exports by 2020,"However, it was the creation of the National Agency for Aquaculture ... markets and economics, environmental protection, potential effects of climate change, and ...",,Morocco,Africa,multiple,all,negative,impact,future
2018,EXEO Capital invests in SA aquaculture company,"... Exeo Capital, aquaculture continues to gain popularity globally, as wild-caught fish numbers decrease due to stricter regulated marine activity, climate change ...",,South Africa,Africa,multiple,all,negative,impact,future
2018,Genetically engineered fish is not a matter of “if” but “when”,"... commercial overfishing, climate change, and cross-contamination by farmed .... Nearly all other aquaculture takes place in pond",,World,World,multiple,salmon,positive,adapt,future
2018,How Climate Change Could Stunt Growth Of Aquatic Farming Industry,Aquaculture — the cultivation of fish and other marine animals for consumption — is poised to become a major food sector over the course of the next century.,,World,World,multiple,"bivalves, finfish",negative,impact,future
2018,Can Aquaculture Survive Without Forage Fish?,"“Aquaculture is now the primary user of forage fish,” says lead author Halley Froehlich, ... Moreover, factors such as climate change could impact wild-caught fish ...",,World,World,multiple,"bivalves, finfish",negative,impact,future
2018,Meet the Women Behind California's First Open-Water Seaweed Farm,"But excitement is growing around the state's potential for aquaculture as ... in the fight against climate change, ocean acidification, and the decimation of aquatic ...",California,USA,North America/Caribbean,OA,seaweed,positive,adapt,now
2018,Congress pushes for climate-based crop insurance,"... for palay and corn crops, high-value commercial crops, livestock, and aquacultureproducts. ... (WATCH: Help farmers adapt to climate change) – Rappler.com.",Manila,Philippines,Asia,multiple,all,positive,adapt,now
2018,Why This Danish Salmon Company's Stock Price Could Double,It is very difficult and costly to increase aquaculture production of salmon given the .... Schiefelbein: Is the rise of seawater temperatures due to climate change a ...,,Denmark,Europe,"temp, HAB, disease",salmon,negative,impact,future
2018,Calling for a Revisionist Natural History,"... and the effects of climate change on seagrasses, kelp forests, mussels, oysters, and ... at U.C. Davis to study climate change's effect on shellfish aquaculture.",,World,World,multiple,shellfish,negative,impact,future
2018,Ocean heat waves are on the rise — and killing coral,They also can wreak havoc on fisheries and aquaculture. ... So scientists want to understand how corals might fare as climate change triggers longer and ...,,World,World,temp,all,negative,impact,now
2018,Aquaculture paving the way for First Nations' prosperity,"“Sustainable aquaculture is key for our wild fish to thrive,” – James Walkus, ... and around the world are under pressure from over-fishing and climate change.",BC,Canada,North America/Caribbean,multiple,all,positive,adapt,future
2018,Thousands of Tonnes of Shellfish Have Died in Southern France,"""s the site of the largest shellfish aquaculture industry in the Mediterranean, the losses in the Thau are a huge blow for thousands of people. In all, the dead mussels and oysters represent a loss of nearly US $7-million",South,France,Europe,"temp, hypoxia","mussels, oysters",negative,impact,now
